screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
PedroCapetti,2019-07-20T00:39:09Z,RT @abraji: A Abraji manifesta solidariedade a Miriam Leitão e a todos os jornalistas que são alvo de ataques por fazer seus trabalhos. https://t.co/CZkBuUrDpB,208,0,,abraji,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1152377369086308358
PedroCapetti,2019-07-19T02:16:12Z,Um pouco de Sul de Minas (e festa de verdade) no seu feed... https://t.co/kC85quJ7PT,0,2,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1152039405584093184
PedroCapetti,2019-07-17T11:56:39Z,"RT @FabioSerapiao: Análise: Em uma canetada, Toffoli favorece traficantes, terroristas e corruptos https://t.co/XHQYKpmiAw",935,0,,FabioSerapiao,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1151460705083822080
PedroCapetti,2019-07-16T07:46:42Z,"RT @EstadaoQR: Num futuro em que o trabalho é dominado por robôs, uma massa de desempregados comanda ataques terroristas contra a tecnologia que tirou seus empregos. Parece obra de ficção? Acredite, essa possibilidade já vem sendo levantada por especialistas #futuroqr https://t.co/PdAtV0unAD",372,0,,EstadaoQR,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1151035415203393537
PedroCapetti,2019-07-09T02:49:04Z,"RT @paulosaldana: ATENÇÃO!! Abertas as inscrições para o 3º Congresso Internacional de Jornalismo de Educação, que ocorre em SP em 19 e 20 de agosto. A programação é dividade em 3 eixos: era da desinformação, educação midiática e novos e antigos desafios da educação: https://t.co/mAGznsFs6O",8,0,,paulosaldana,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1148423795981639680
PedroCapetti,2019-07-05T13:01:58Z,RT @igormello: O @rubensvalente relata algo muito grave em sua coluna de hoje na @folha. Bolsonaro afirmou que Moro lhe deu acesso aos autos de uma investigação sigilosa. https://t.co/AOHWX2AvZz,1,0,,igormello,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1147128484621369345
PedroCapetti,2019-07-05T10:45:11Z,RT @VEJA: #EXCLUSIVO Novos diálogos revelam que Moro orientava ilegalmente ações da Lava Jato https://t.co/Ef3TJ6fAd3 https://t.co/2u2MdlaLTt,6461,0,,VEJA,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1147094062887002112
PedroCapetti,2019-07-02T00:31:32Z,Censo apagado! https://t.co/CKAy6qj2qE,0,1,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,es,1145852468548575237
PedroCapetti,2019-07-01T15:57:26Z,"RT @turicas: Durante o congresso da @abraji apresentei (2x) a oficina ""Ciência de dados no terminal"", com exemplos práticos para trabalhar com arquivos gigantes usando comandos simples. Os slides estão disponíveis aqui: https://t.co/dQdzoTf1vx #ddj #unix #freesoftware",29,0,,turicas,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1145723093341679618
PedroCapetti,2019-07-01T00:40:57Z,"Ainda mais feliz em encontrar tanta gente de Juiz de Fora no Congresso. Em 2016, no meu primeiro, estava sozinho. O jornalismo da cidade ganha muito com isso!",0,4,PedroCapetti,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1145492452117291008
